DC_DIST,SECTOR,DISPATCH_DATE_TIME,DISPATCH_DATE,DISPATCH_TIME,HOUR,DC_KEY,LOCATION_BLOCK,UCR_GENERAL,OBJECTID,TEXT_GENERAL_CODE,POINT_X,POINT_Y,SHAPE
01,A,2006-01-06 12:25:00,2006-01-06,12:25:00,,200601000655,2000 BLOCK S BROAD ST,600,28757741,Thefts,-75.16969795,39.9248987,28704754
01,J,2006-01-06 12:34:00,2006-01-06,12:34:00,,200601000665,2700 BLOCK WOLF ST,700,28738119,Motor Vehicle Theft,-75.19058142,39.92416681,28685132
01,A,2006-01-06 16:27:00,2006-01-06,16:27:00,,200601000677,1800 BLOCK E PASSYUNK AVE,600,28887812,Thefts,-75.16614009,39.92767842,28834825
01,N,2006-01-06 17:12:00,2006-01-06,17:12:00,,200601000686,1700 BLOCK LANGLEY AVE,600,28734440,Thefts,-75.18171184,39.89698298,28681453
01,J,2006-01-07 10:08:00,2006-01-07,10:08:00,,200601000807,2300 BLOCK S 25TH ST,500,28752349,Burglary Residential,-75.18851862,39.92384311,28699362
01,I,2006-01-07 11:34:00,2006-01-07,11:34:00,,200601000811,1500 BLOCK PACKER AVE,700,28738120,Motor Vehicle Theft,-75.17412852,39.91201293,28685133
01,I,2006-01-07 08:16:00,2006-01-07,08:16:00,,200601000813,1600 BLOCK HARTRANFT ST,600,28746112,Theft from Vehicle,-75.17604014,39.90831513,28693125
01,D,2006-01-07 12:57:00,2006-01-07,12:57:00,,200601000817,2100 BLOCK S 28TH ST,600,28747882,Thefts,-75.19265161,39.92732176,28694895
01,D,2006-01-07 13:44:00,2006-01-07,13:44:00,,200601000821,2800 BLOCK VARE AV,600,28747883,Thefts,-75.19337569,39.92469603,28694896
01,C,2006-01-07 22:45:00,2006-01-07,22:45:00,,200601000868,MIFFLIN ST /POINT BREEZE AV,600,28741509,Thefts,-75.18486995,39.92884885,28688522
01,G,2006-01-08 14:37:00,2006-01-08,14:37:00,,200601000926,1900 BLOCK JOHNSTON ST,300,28835092,Robbery No Firearm,-75.18038335,39.91667342,28782105
01,I,2006-01-08 16:26:00,2006-01-08,16:26:00,,200601000936,3200 BLOCK S 20TH ST,600,28746113,Theft from Vehicle,-75.18249832,39.91043964,28693126
01,J,2006-01-08 17:47:00,2006-01-08,17:47:00,,200601000947,2200 BLOCK OREGON AVE,600,28753517,Thefts,-75.18520617,39.91862045,28700530
01,K,2006-01-09 08:14:00,2006-01-09,08:14:00,,200601000996,2300 BLOCK OREGON AVE,700,28738121,Motor Vehicle Theft,-75.18671975,39.91878647,28685134
01,H,2006-01-09 12:36:00,2006-01-09,12:36:00,,200601001015,S 26TH ST /PENROSE AVE,700,28873577,Recovered Stolen Motor Vehicle,-75.1939907,39.90564242,28820590
01,F,2006-01-09 18:09:00,2006-01-09,18:09:00,,200601001055,2500 BLOCK S 21ST ST,300,28740919,Robbery No Firearm,-75.18232261,39.92021719,28687932
01,K,2006-01-09 18:49:00,2006-01-09,18:49:00,,200601001062,2300 BLOCK OREGON AVE,600,28754432,Thefts,-75.18699961,39.91883469,28701445
01,A,2006-01-09 21:20:00,2006-01-09,21:20:00,,200601001089,S BROAD ST /SNYDER AVE,600,28757742,Thefts,-75.1697474,39.92441851,28704755
01,E,2006-01-10 02:59:00,2006-01-10,02:59:00,,200601001128,2100 BLOCK S 15TH ST,500,28766002,Burglary Residential,-75.17166062,39.92355838,28713015
01,B,2006-01-10 10:53:00,2006-01-10,10:53:00,,200601001149,S 20TH ST /MOORE ST,700,28818092,Motor Vehicle Theft,-75.17844698,39.92928051,28765105
01,J,2006-01-10 15:02:00,2006-01-10,15:02:00,,200601001171,2300 BLOCK W PASSYUNK AV,600,28887813,Thefts,-75.18592475,39.92247637,28834826
